|Ben    |Super  |Spact  |Village|
|Ben    |Mortar |Spact  |Village|
|Ben    |Mortar |Super  |Village|
|Ben    |Mortar |Super  |Spact  |
|Ben    |Heli   |Spact  |Village|
|Ben    |Heli   |Super  |Village|
|Ben    |Heli   |Super  |Spact  |
|Ben    |Heli   |Mortar |Village|
|Ben    |Heli   |Mortar |Spact  |
|Ben    |Heli   |Mortar |Super  |
|Ben    |Ace    |Spact  |Village|
|Ben    |Ace    |Super  |Village|
|Ben    |Ace    |Super  |Spact  |
|Ben    |Ace    |Mortar |Village|
|Ben    |Ace    |Mortar |Spact  |
|Ben    |Ace    |Mortar |Super  |
|Ben    |Ace    |Heli   |Village|
|Ben    |Ace    |Heli   |Spact  |
|Ben    |Ace    |Heli   |Super  |
|Ben    |Ace    |Heli   |Mortar |
|Ben    |Sniper |Spact  |Village|
|Ben    |Sniper |Super  |Village|
|Ben    |Sniper |Super  |Spact  |
|Ben    |Sniper |Mortar |Village|
|Ben    |Sniper |Mortar |Spact  |
|Ben    |Sniper |Mortar |Super  |
|Ben    |Sniper |Heli   |Village|
|Ben    |Sniper |Heli   |Spact  |
|Ben    |Sniper |Heli   |Super  |
|Ben    |Sniper |Heli   |Mortar |
|Ben    |Sniper |Ace    |Village|
|Ben    |Sniper |Ace    |Spact  |
|Ben    |Sniper |Ace    |Super  |
|Ben    |Sniper |Ace    |Mortar |
|Ben    |Sniper |Ace    |Heli   |
|Ben    |Glue   |Spact  |Village|
|Ben    |Glue   |Super  |Village|
|Ben    |Glue   |Super  |Spact  |
|Ben    |Glue   |Mortar |Village|
|Ben    |Glue   |Mortar |Spact  |
|Ben    |Glue   |Mortar |Super  |
|Ben    |Glue   |Heli   |Village|
|Ben    |Glue   |Heli   |Spact  |
|Ben    |Glue   |Heli   |Super  |
|Ben    |Glue   |Heli   |Mortar |
|Ben    |Glue   |Ace    |Village|
|Ben    |Glue   |Ace    |Spact  |
|Ben    |Glue   |Ace    |Super  |
|Ben    |Glue   |Ace    |Mortar |
|Ben    |Glue   |Ace    |Heli   |
|Ben    |Glue   |Sniper |Village|
|Ben    |Glue   |Sniper |Spact  |
|Ben    |Glue   |Sniper |Super  |
|Ben    |Glue   |Sniper |Mortar |
|Ben    |Glue   |Sniper |Heli   |
|Ben    |Glue   |Sniper |Ace    |
|Ben    |Ice    |Spact  |Village|
|Ben    |Ice    |Super  |Village|
|Ben    |Ice    |Super  |Spact  |
|Ben    |Ice    |Mortar |Village|
|Ben    |Ice    |Mortar |Spact  |
|Ben    |Ice    |Mortar |Super  |
|Ben    |Ice    |Heli   |Village|
|Ben    |Ice    |Heli   |Spact  |
|Ben    |Ice    |Heli   |Super  |
|Ben    |Ice    |Heli   |Mortar |
|Ben    |Ice    |Ace    |Village|
|Ben    |Ice    |Ace    |Spact  |
|Ben    |Ice    |Ace    |Super  |
|Ben    |Ice    |Ace    |Mortar |
|Ben    |Ice    |Ace    |Heli   |
|Ben    |Ice    |Sniper |Village|
|Ben    |Ice    |Sniper |Spact  |
|Ben    |Ice    |Sniper |Super  |
|Ben    |Ice    |Sniper |Mortar |
|Ben    |Ice    |Sniper |Heli   |
|Ben    |Ice    |Sniper |Ace    |
|Ben    |Ice    |Glue   |Village|
|Ben    |Ice    |Glue   |Spact  |
|Ben    |Ice    |Glue   |Super  |
|Ben    |Ice    |Glue   |Mortar |
|Ben    |Ice    |Glue   |Heli   |
|Ben    |Ice    |Glue   |Ace    |
|Ben    |Ice    |Glue   |Sniper |
|Church |Super  |Spact  |Village|
|Church |Mortar |Spact  |Village|
|Church |Mortar |Super  |Village|
|Church |Mortar |Super  |Spact  |
|Church |Heli   |Spact  |Village|
|Church |Heli   |Super  |Village|
|Church |Heli   |Super  |Spact  |
|Church |Heli   |Mortar |Village|
|Church |Heli   |Mortar |Spact  |
|Church |Heli   |Mortar |Super  |
|Church |Ace    |Spact  |Village|
|Church |Ace    |Super  |Village|
|Church |Ace    |Super  |Spact  |
|Church |Ace    |Mortar |Village|
|Church |Ace    |Mortar |Spact  |
|Church |Ace    |Mortar |Super  |
|Church |Sniper |Spact  |Village|
|Church |Sniper |Super  |Village|
